Transaction_ID,Customer_ID,Purchase_Date,Product_Name,Product_Category,Amount_Spent,Payment_Method,Store_Location,Discount_Applied,Transaction_Status
1,776,2024-09-20,Mixer,Electronics,33341.87,Credit Card,Ahmedabad,15,Failed
2,2025,2022-07-08,Groceries,Toys,21020.6,UPI,Surat,15,Completed
3,3548,2021-10-12,Book,Electronics,33724.31,Cash,Hyderabad,10,Completed
4,4187,2024-05-06,Toy,Electronics,40896.13,UPI,Pune,0,Failed
5,4830,2023-11-06,Book,Clothing,42939.37,Cash,Surat,15,Failed
6,3946,2024-08-05,Mixer,Home & Kitchen,17948.01,Debit Card,Chennai,20,Failed
7,5533,2023-12-05,Book,Groceries,2521.25,Credit Card,Ahmedabad,20,Failed
8,3507,2024-08-25,Book,Home & Kitchen,44926.77,Cash,Delhi,15,Failed
9,4841,2022-06-09,Shirt,Home & Kitchen,20337.54,Credit Card,Hyderabad,5,Pending
10,6688,2022-10-04,Shirt,Books,6771.4,Credit Card,Pune,10,Completed
11,5035,2022-04-28,Toy,Home & Kitchen,11030.5,Debit Card,Bangalore,10,Failed
12,5822,2022-07-28,Laptop,Electronics,21892.64,UPI,Bangalore,15,Failed
13,1231,2023-07-14,Laptop,Books,19778.09,Debit Card,Kolkata,0,Failed
14,4226,2022-07-19,Laptop,Books,43608.05,UPI,Kolkata,10,Pending
15,5290,2023-07-16,Groceries,Groceries,21089.86,Cash,Ahmedabad,20,Pending
16,4263,2024-05-03,Laptop,Books,42400.43,Credit Card,Surat,5,Completed
17,1842,2022-12-23,Groceries,Groceries,9129.19,UPI,Pune,20,Pending
18,3220,2023-12-09,Book,Electronics,6680.77,Debit Card,Chennai,10,Pending
19,2917,2022-06-01,Mixer,Books,29108.07,UPI,Mumbai,5,Completed
20,4509,2023-02-01,Book,Groceries,34956.39,UPI,Hyderabad,15,Pending
21,5914,2024-07-31,Mixer,Books,45581.62,Debit Card,Pune,5,Pending
22,1842,2023-04-07,Book,Toys,23015.3,Debit Card,Jaipur,0,Pending
23,2888,2024-04-26,Groceries,Groceries,27417.62,Debit Card,Pune,0,Completed
24,647,2023-04-07,Shirt,Home & Kitchen,13290.43,UPI,Surat,0,Failed
25,5628,2023-12-23,Mixer,Books,13867.06,Debit Card,Surat,20,Pending
